date,streamflow_cfs
2010-01-01,3004.5382411012383
2010-01-02,2850.4900369635297
2010-01-03,2853.8332671783032
2010-01-04,2879.593571588069
2010-01-05,3558.802038838129
2010-01-06,3227.8883147576125
2010-01-07,2906.404848121706
2010-01-08,3199.7410007711437
2010-01-09,3131.0981241569634
2010-01-10,2799.948578113417
2010-01-11,2916.397582955238
2010-01-12,3228.6822984238756
2010-01-13,3705.6936098314286
2010-01-14,3136.139299782944
2010-01-15,3094.37910749592
2010-01-16,3270.4666160011366
2010-01-17,3133.492857207896
2010-01-18,3220.6271258915826
2010-01-19,3311.4469770659593
2010-01-20,3133.979064673053
2010-01-21,3624.1790257537596
2010-01-22,3161.2618144268827
2010-01-23,3172.678727948423
2010-01-24,3488.633561748878
2010-01-25,3688.0595835889035
2010-01-26,3528.3162180723825
2010-01-27,3476.2732445287565
2010-01-28,3456.3631708479325
2010-01-29,3445.6326965193816
2010-01-30,3927.7620726197456
2010-01-31,3686.743444784253
2010-02-01,3528.1052177554297
2010-02-02,3493.8373709732327
2010-02-03,3845.675805460456
2010-02-04,4026.231234302622
2010-02-05,4006.924348074225
2010-02-06,3551.773644519744
2010-02-07,3671.8818100978374
2010-02-08,3656.817328903842
2010-02-09,3740.260093387313
2010-02-10,4062.61041933622
2010-02-11,4312.3477038899
2010-02-12,3946.801620543624
2010-02-13,3722.9828951361765
2010-02-14,3872.7873438261154
2010-02-15,4489.4215349754395
2010-02-16,3941.210308476379
2010-02-17,3864.487451714527
2010-02-18,3899.652694158875
2010-02-19,4071.185114055623
2010-02-20,3818.6726357894295
2010-02-21,3889.708207249749
2010-02-22,4315.7995740821725
2010-02-23,4127.096019532049
2010-02-24,4075.772531213619
2010-02-25,4382.852889655141
2010-02-26,3929.132681974492
2010-02-27,4016.059087857966
2010-02-28,4189.9617801785
2010-03-01,4192.98520305731
2010-03-02,3885.816943281495
2010-03-03,4049.400772008968
2010-03-04,4118.980195115318
2010-03-05,4286.381400601685
2010-03-06,4253.2970156330575
2010-03-07,4174.50770094696
2010-03-08,3913.532490851192
2010-03-09,4207.522464105656
2010-03-10,4239.984124883975
2010-03-11,5359.912394433455
2010-03-12,4195.44693345572
2010-03-13,4335.391974862498
2010-03-14,4650.228110470068
2010-03-15,4501.583555060587
2010-03-16,4783.889054458542
2010-03-17,4034.8431926030416
2010-03-18,4092.1771742830065
2010-03-19,4168.291762760934
2010-03-20,4038.3430656929468
2010-03-21,4323.038403379197
2010-03-22,4124.2943088626525
2010-03-23,4895.835430272931
2010-03-24,4153.930580539665
2010-03-25,4245.0484277615815
2010-03-26,4581.757228994214
2010-03-27,4099.568161658588
2010-03-28,4062.590914598016
2010-03-29,4380.879708456236
2010-03-30,4403.851381251913
2010-03-31,4578.3086135036265
2010-04-01,4487.053769981628
2010-04-02,4415.939832808366
2010-04-03,4186.144311712689
2010-04-04,4395.366253154676
2010-04-05,4411.857965505538
2010-04-06,4175.942833293792
2010-04-07,5077.24150811628
2010-04-08,4461.339796392462
2010-04-09,4126.5951692621675
2010-04-10,4563.936140671335
2010-04-11,4628.298400593172
2010-04-12,4426.396130335508
2010-04-13,4243.689122771586
2010-04-14,4138.55198583964
2010-04-15,4272.430773453415
2010-04-16,4381.781314319468
2010-04-17,4282.412824643426
2010-04-18,4805.723778448692
2010-04-19,4453.482392256169
2010-04-20,4080.541840535507
2010-04-21,4041.0322299007244
2010-04-22,4380.083130700024
2010-04-23,4175.715559812162
2010-04-24,4440.966290730636
2010-04-25,4348.243298143953
2010-04-26,4181.633328884247
2010-04-27,4014.931425595613
2010-04-28,3919.9243323731407
2010-04-29,4224.775720083496
2010-04-30,3925.0745913690275
2010-05-01,3961.846911088581
2010-05-02,4170.421904172932
2010-05-03,4131.201537988399
2010-05-04,3885.7877234322973
2010-05-05,4453.564683756449
2010-05-06,4426.955691959056
2010-05-07,4210.884314412551
2010-05-08,4195.42500727312
2010-05-09,4180.439347006938
2010-05-10,4325.206838501316
2010-05-11,4195.183231376124
2010-05-12,3818.296647800691
2010-05-13,3906.396192730235
2010-05-14,4972.72780027537
2010-05-15,3642.2636091919912
2010-05-16,3803.9137578265263
2010-05-17,4261.052344572083
2010-05-18,3722.3315184104813
2010-05-19,4064.3540813055392
2010-05-20,3849.174511991256
2010-05-21,3676.4248477028355
